文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk1,p.1,"The tubes are produced by extrusion at about $8 1 5 \mathrm { { ‰} }$ , followed by a final $2 5 \%$ cold-draw",Zr-2.5Nb,as-fabricated,extrusion,processing,"{'value': 97.5, 'unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815.0,°C,,,,,,,25.0,%
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk2,text,The cost of a Charpy test is about one tenth that of a $C ( \mathsf { T } )$ test.,,,,Charpy test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk3,text,Curved Charpy specimens were cut from the pressure tubes in such a way that the crack propagated in the axial direction (Fig. 1).,,irradiated,specimen cutting,Charpy impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,axial,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk3,text,The microstructure was examined by X-ray diffraction (XRD) and thin film electron microscopy (TEM),,,microstructural examination,XRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,mm
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk3,text,Type B behavior was observed only on specimens tested above $2 0 0 \mathrm { { ^ \circ C } }$,Zr-2.5Nb,irradiated,,tensile,"{'value': 97.5, 'unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,B,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk3,text,"Type B behavior became more frequent with increasing test temperature, and above $2 7 0 \mathrm { { ^circ C } }$ most of the tests had Type B load-displacement curves.",Zr-2.5Nb,irradiated,,tensile,"{'value': 97.5, 'unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,270.0,,,,,,,,,,,,,,B,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk3,text,All unirradiated materials tested from room temperature to $3 0 0 \mathrm { ‰}$ exhibited Type A behavior.,Zr-2.5Nb,unirradiated,,tensile,"{'value': 97.5, 'unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk3,text,The tensile properties approach asymptotic values at fluences above $1 \times 1 0 ^ { 2 5 }$ $\mathrm { n } / \mathrm { m } ^ { 2 }$,Zr-2.5Nb,irradiated,,tensile,"{'value': 97.5, 'unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,1e+25,,,,,,,,,,,,,asymptotic,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk4,text,"There is an apparent transition temperature ranging between 70 and 150°C, depending on the tube",Zr-2.5Nb,irradiated,,fracture toughness test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0–150.0,°C,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk4,text,"Up to about 15 years of operation, the hydrogen concentrations in the Zr-2.5Nb pressure tubes are low (≈0.2 at% at tube center)",Zr-2.5Nb,,operation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,at%,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk4,text,"at temperatures between 240 and 300°C, hydrogen concentration had little effect on fracture toughness; the specimens with higher hydrogen concentration even appeared to have slightly higher toughness",Zr-2.5Nb,,,fracture toughness test,,,,,,,,,,,,,,,,,,240.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk4,text,"at temperatures between 240 and 300°C, hydrogen concentration had little effect on fracture toughness; the specimens with higher hydrogen concentration even appeared to have slightly higher toughness",Zr-2.5Nb,,,fracture toughness test,,,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk5,Text,"During the hot extrusion of the pressure tubes, the front end of the pressure tubes is worked at a higher temperature than the back end; as a result, the pressure tubes show an increasing strength from the front to the back end.",,pressure tube,hot extrusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk5,Text,"However, there is no clear indication that initial tensile strength affects post-irradiation fracture toughness.",,irradiated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk5,Text,"As fracture toughness is a function of test temperature and fluence, only data from tests in the upper shelf region, 240 to 300°C, were plotted as a function of fluence for material near the inlets and outlets (Fig. 11).",,irradiated,,fracture toughness test,,,,,,,,,,,,,,,,,,240.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk5,Text,"As fracture toughness is a function of test temperature and fluence, only data from tests in the upper shelf region, 240 to 300°C, were plotted as a function of fluence for material near the inlets and outlets (Fig. 11).",,irradiated,,fracture toughness test,,,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk5,Text,"Figure 11a depicts the fracture toughness of materials from the outlet ends, showing that the data from the front ends are not significantly different from those from the back ends of the tubes.",,"irradiated, outlet end",,fracture toughness test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk5,Text,Figure 11b indicates that the same holds true for the inlet ends of the tubes.,,"irradiated, inlet end",,fracture toughness test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk5,Text,The producers of the pressure tubes measured the longitudinal tensile properties at the front-end of each pressure tube at 300°C.,,"pressure tube, front-end",,tensile test,,,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk6,text,The enrichment is the result of a gradual decomposition of metastable 2040 at. $\%$ Nb enriched $\beta \not { q } { \ Z } { \tau }$ towards a stable 85 at. $\%$ Nb $\beta$ Nb product.,,"metastable, stable",,,,,"{'value': 20.0, 'unit': 'at.%', 'raw_unit': 'at.%', 'min': None, 'max': 40.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,at.%
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk6,text,"An $\boldsymbol { \omega }$ -phase, present after fabrication of the pressure tube (produced during a final heat-treatment of $4 0 0 \mathrm { ‰}$ for $^ { 2 4 \mathrm { ~ h ~ } }$ ), remains after service in all cases.",,,heat-treatment,,,,,,,,,,,,,,,,,,,400.0,,,,,,24.0,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk6,text,"specimens. (a) Low-toughness tube P3F13, specimen $C 2$ , tested at $2 4 0 ^ { \circ } C$ (b) High-toughness tube B2P12, specimen C2, tested at $\bar { 3 } 0 0 ^ { \circ } C$ .",,"Low-toughness, High-toughness",,tested,,,,,,,,,,,,,,,,,,240.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk6,text,"specimens. (a) Low-toughness tube P3F13, specimen $C 2$ , tested at $2 4 0 ^ { \circ } C$ (b) High-toughness tube B2P12, specimen C2, tested at $\bar { 3 } 0 0 ^ { \circ } C$ .",,"Low-toughness, High-toughness",,tested,,,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk6,text,FIG. 15—Fracture surface of a burst unirradiated Zr-2.5Nb pressure tube tested at $2 4 0 ^ { \circ } C$ ( EDM machined notch. (b) Fatigue precrack. (c) Stable crack growth.,Zr-2.5Nb,unirradiated,,burst test,"{'value': 97.5, 'unit': 'wt%', 'raw_unit': None, 'min': None, 'max': None}",,"{'value': 2.5, 'unit': 'wt%', 'raw_unit': None, 'min': None, 'max': None}",,,,,,,,,,,,,,,240.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk6,text,The decomposition of the $\alpha \cdot$ and $\beta$ -phases during service in CANDU reactors operating at about $2 5 0 { - } 3 0 0 ^ { \circ } \mathrm { C }$ is distinct from the changes observed by thermal treatments (10 to 50 days at about $5 0 0 ^ { \circ } \mathbf { C }$ to form the equilibrium structure.,,,"service, thermal treatment",,,,,,,,,,,,,,,,,,,250.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk6,text,The decomposition of the $\alpha \cdot$ and $\beta$ -phases during service in CANDU reactors operating at about $2 5 0 { - } 3 0 0 ^ { \circ } \mathrm { C }$ is distinct from the changes observed by thermal treatments (10 to 50 days at about $5 0 0 ^ { \circ } \mathbf { C }$ to form the equilibrium structure.,,,"service, thermal treatment",,,,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk6,text,The decomposition of the $\alpha \cdot$ and $\beta$ -phases during service in CANDU reactors operating at about $2 5 0 { - } 3 0 0 ^ { \circ } \mathrm { C }$ is distinct from the changes observed by thermal treatments (10 to 50 days at about $5 0 0 ^ { \circ } \mathbf { C }$ to form the equilibrium structure.,,,thermal treatment,,,,,,,,,,,,,,,,,,,500.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk6,text,The decomposition of the $\alpha \cdot$ and $\beta$ -phases during service in CANDU reactors operating at about $2 5 0 { - } 3 0 0 ^ { \circ } \mathrm { C }$ is distinct from the changes observed by thermal treatments (10 to 50 days at about $5 0 0 ^ { \circ } \mathbf { C }$ to form the equilibrium structure.,,,thermal treatment,,,,,,,,,,,,,,,,,,,500.0,,,,,,50.0,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk7,text,"compact specimens produce conservative $J _ { R }$ curves, i.e., the measured $J$ -integral is smaller than those obtained fro center cracked panels (CCP) [19], unless the materials are very brittle",Zr-2.5Nb,pressure tube materials,,fracture toughness test,"{'value': 97.5, 'unit': 'wt%', 'raw_unit': None, 'min': None, 'max': None}",,"{'value': 2.5, 'unit': 'wt%', 'raw_unit': None, 'min': None, 'max': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk7,text,"Data from unirradiated $\mathbf { Z r { - } } 2 . 5 \mathbf { N b }$ materials also show that the measured toughness is size-dependent, with larger C(T) specimens giving higher dJ/da values [10]",Zr-2.5Nb,unirradiated,,fracture toughness test,"{'value': 97.5, 'unit': 'wt%', 'raw_unit': None, 'min': None, 'max': None}",,"{'value': 2.5, 'unit': 'wt%', 'raw_unit': None, 'min': None, 'max': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk8,text,The fracture toughness of irradiated Zr-2.5Nb pressure tube decreases with fluence.,Zr-2.5Nb,irradiated,,,"{'value': 97.5, 'unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk8,text,"The values of toughness exhibit much variation, but the reduction in toughness with irradiation seems to reach a constant value after a fluence of 3 × 1 0 ^ { 2 5 } \ \mathrm { n } / \mathrm { m } ^ { 2 } E > 1 MeV).",,irradiated,,,,,,,,,,,,,,,,,,,,,,,,,3.0000000000000005e+25,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk8,text,The fracture mechanism for the material is void formation and coalescence.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,void formation and coalescence,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk8,text,"In addition, the formation of β-Nb precipitates in the α-grains and the dispersal of Fe from the β-phase could both contribute to the degradation of fracture toughness that is not recovered by subsequent thermal treatment [8].",,"irradiated, heat treated",thermal treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk9,DISCUSSION,"High hydrogen concentration seems to decrease the toughness at low temperatures, but at the operating temperatures (240 $3 0 0 ^ { \circ } \mathrm { C } ,$ there is no significant reduction of toughness (Fig. 10) for the hydrogen concentration we investigated.",,irradiated,,fracture toughness,,,,,,,,,,,,,,,,,,240.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk9,DISCUSSION,"High hydrogen concentration seems to decrease the toughness at low temperatures, but at the operating temperatures (240 $3 0 0 ^ { \circ } \mathrm { C } ,$ there is no significant reduction of toughness (Fig. 10) for the hydrogen concentration we investigated.",,irradiated,,fracture toughness,,,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk9,DISCUSSION,Our data (Figs. 7 and 20) show that fracture toughness and $a$ -dislocation density saturate at about the fluence you mention.,,irradiated,,,,,,,,,,,,,,,,,,,,,,,,,2.3e+25,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk9,DISCUSSION,We showed (Fig. 11) that the fracture toughness of the inlet and outlet (about $5 0 \mathrm { { ^ \circ C } }$ difference) are not drastically different.,,,,fracture toughness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk9,DISCUSSION,Thus we do not think the slightly higher operating temperature of the Bruce reactors (about $1 0 ^ { \circ } \mathrm { C }$ higher than the Pickering reactors) is the cause of the higher fracture toughness of this tube.,,,,fracture toughness,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk10,text,The fissures were also observed at temperatures at which all hydrogen was in solution.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in solution,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_019_chunk10,text,"It was demonstrated that nodular corrosion resistance in a $5 0 0 \%$ , 24-h autoclave test could be improved by adjusting the major alloying elements within the specification range for Zircaloy-2.",Zircaloy-2,,,24-h autoclave test,,,,,,,,,,,,,,,,,,500.0,autoclave,,,,,24.0,,,,,,,,,,,,,,,,,,,
STP1467-EB-Zirconium in the Nuclear Industry_14th Volume_002_chunk1,3,ZIRLOTM—An Alloy Development Success—G. P. SABOL,ZIRLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1467-EB-Zirconium in the Nuclear Industry_14th Volume_002_chunk1,53,Plastic Deformation of Irradiated Zirconium Alloys: TEM Investigations and Micro-Mechanical Modeling,,irradiated,,"TEM investigation, micro-mechanical modeling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1467-EB-Zirconium in the Nuclear Industry_14th Volume_002_chunk1,157,Study of Nb and Fe Precipitation in $\alpha$ -Phase Temperature Range (400 to $\mathbf { 5 5 0 ^ { \circ } C }$ in Zr-Nb-(Fe-Sn) Alloys,Zr-Nb-(Fe-Sn),,precipitation,study,"{'value': None, 'unit': 'wt%'}","{'value': None, 'unit': 'wt%'}","{'value': None, 'unit': 'wt%'}","{'value': None, 'unit': 'wt%'}",,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1467-EB-Zirconium in the Nuclear Industry_14th Volume_002_chunk1,386,The Correlation Between Microstructures and in-BWR Corrosion Behavior of Highly Irradiated Zr-based Alloys,Zr-based,highly irradiated,,corrosion test,,,,,,,,,,,,,,,,,,,BWR water,,,,,,,,,,,,,,,,,,,,,,,,
STP1467-EB-Zirconium in the Nuclear Industry_14th Volume_002_chunk1,404,Effect of Alloying Elements and Impurities on in-BWR Corrosion of Zirconium All0yS,,,,corrosion test,,,,,,,,,,,,,,,,,,,BWR water,,,,,,,,,,,,,,,,,,,,,,,,
STP1467-EB-Zirconium in the Nuclear Industry_14th Volume_002_chunk1,547,Predicting Oxidation and Deuterium Ingress for Zr-2.5Nb CANDU Pressure Tubes,Zr-2.5Nb,pressure tube,,"oxidation test, deuterium ingress test","{'value': None, 'unit': 'wt%'}",,"{'value': 2.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1467-EB-Zirconium in the Nuclear Industry_14th Volume_002_chunk1,632,Ductility of Zircaloy-4 Fuel Cladding and Guide Tubes at High Fluences,Zircaloy-4,"fuel cladding, guide tubes",,ductility test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1467-EB-Zirconium in the Nuclear Industry_14th Volume_002_chunk1,632,Thermal Creep of Irradiated Zircaloy Cladding,Zircaloy,"irradiated, cladding",,thermal creep test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1467-EB-Zirconium in the Nuclear Industry_14th Volume_002_chunk1,873,Mechanical Properties of Zircaloy-4 PWR Fuel Cladding with Burnup 54-64MWd/kgU and Implications for RIA Behavior,Zircaloy-4,PWR fuel cladding,,mechanical property test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1467-EB-Zirconium in the Nuclear Industry_14th Volume_002_chunk1,873,Influence of Long Service Exposures on the Thermal-Mechanical Behavior of Zy-4 and M5TM Alloys in LOCA Conditions,"Zy-4, M5",,,thermal-mechanical test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1467-EB-Zirconium in the Nuclear Industry_14th Volume_002_chunk2,text,"Historically, in commercial reactors, Zircaloy-2, Zircaloy-4 and Zr-1Nb alloys have been used as material for fuel assembly components",Zircaloy-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_012_chunk1,1,You examined three kinds of specimens of varying cold work,,varying cold work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_012_chunk1,1,differences may have resulted from the difference in the grain size of the specimens after annealing,,annealed,annealing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_012_chunk1,1,also resulted in the difference of yield stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,MPa,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_012_chunk1,1,If you have a higher cold work you will have a finer grain size,,higher cold work,cold work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_012_chunk1,1,The difference seems to be very small on tubing with various cold-work conditions,,various cold-work conditions,cold work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_012_chunk1,1,In going from a fully cold-worked material to a fully annealed material there will be a certain decrease in yield strength,,"fully cold-worked, fully annealed","cold work, annealing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_012_chunk1,1,the inside and outside surfaces are etched with $\mathrm { H F } + \mathrm { H N O } _ { 3 } + \mathrm { H } _ { 2 } \mathrm { O }$,Zircaloy,,etching,,,,,,,,,,,,,,,,,,,,HF + HNO3 + H2O,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_039_chunk1,478,the width of your columnar grains is approximately 500 A $( 5 0 \ \mathrm { n m } )$,,post-transition film,,microscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,nm,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_039_chunk1,478,the region of rapid grain coarsening to the 3000 $\mathring \mathbf { A }$ $\left( 3 0 0 \ \mathfrak { n m } \right)$ diameters,,oxide,,microscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,nm,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_039_chunk1,479,"The force necessary to penetrate the discs decreased when either the initial amount of iodine or the temperature was increased, for cold-worked as well as recrystallized Zircaloy-2",Zircaloy-2,"cold-worked, recrystallized",,biaxial bending,,,,,,,,,,,,,,,,,,,iodine,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_039_chunk1,479,"Uniaxial short-time creep tests and tests with stressed slotted rings, both performed in environments containing iodine, did not result in stress corrosion cracking",Zircaloy-2,,,"uniaxial creep, slotted ring",,,,,,,,,,,,,,,,,,,iodine,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_039_chunk1,479,Microprobe analysis of the regions adjacent to cracks revealed deposition of iodine compounds on the walls of narrow cracks or near the crack tips,Zircaloy-2,,,microprobe analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,percent,,,,
